"","host_id","id","host_since","neighborhood_cleaned","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","guests_included","extra_people","minimum_nights","review_scores_rating","review_scores_value","revenue"
"3414",10319898,2004406,2013-11-28,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",115,2,35,2,93,9,6440
"3415",796384,4118247,2011-07-09,"Westerpark","Apartment","Entire home/apt",2,1,1,1,"Real Bed",125,1,0,3,98,9,6750
"3416",10321463,2851914,2013-11-28,"Westerpark","Apartment","Entire home/apt",2,1,0,2,"Real Bed",60,1,20,1,86,8,1600
"3417",10325532,2005645,2013-11-29,"Center-West","Other","Entire home/apt",2,1,0,1,"Real Bed",90,1,0,1,95,9,26100
"3418",10328790,3693117,2013-11-29,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,1,0,1,88,9,4800
"3419",10328790,2006763,2013-11-29,"Pipe - Rivierenbuurt","Apartment","Private room",2,1,1,1,"Real Bed",70,1,0,1,88,9,15120
"3420",10341778,2009504,2013-11-01,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,1,0,2,85,9,4800
"3421",10344430,2010118,2013-11-01,"The Baarsjes - Old West","Apartment","Private room",1,1,1,1,"Real Bed",75,0,0,3,89,9,6300
"3422",10344723,2010196,2013-11-01,"Former North","Apartment","Entire home/apt",3,1.5,2,3,"Real Bed",195,2,35,3,99,9,2760
"3423",797802,847359,2011-07-09,"Center-East","Apartment","Entire home/apt",4,1,2,2,"Real Bed",125,2,40,3,95,9,4950
"3424",10356267,2013008,2013-12-01,"Docklands - Indian Neighborhood","Apartment","Entire home/apt",5,1,2,2,"Real Bed",99,2,15,2,94,9,3648
"3425",10357130,3159652,2013-12-01,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",148,1,0,5,100,10,2960
"3426",10357130,4820483,2013-12-01,"Center-West","Other","Private room",2,1,1,1,"Real Bed",95,2,0,2,100,10,1140
"3427",10358428,2037191,2013-12-01,"Slotervaart","Apartment","Entire home/apt",6,1.5,3,3,"Real Bed",100,2,40,1,94,9,3640
"3428",10363053,2014705,2013-12-01,"Forest and Shade","Apartment","Entire home/apt",4,1,2,2,"Real Bed",120,2,15,2,100,10,4860
"3429",10365673,2718586,2013-12-01,"South","Apartment","Entire home/apt",4,1,3,3,"Real Bed",149,2,25,4,92,9,8352
"3430",10369417,2016155,2013-12-01,"South","House","Entire home/apt",10,2,5,10,"Real Bed",350,5,75,4,100,10,10200
"3431",798559,4976444,2011-07-09,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",89,1,0,2,100,9,712
"3432",10380915,4473960,2013-12-02,"South","Apartment","Entire home/apt",2,1,1,1,"Real Bed",79,1,0,2,90,8,632
"3433",10383038,2019623,2013-12-02,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",149,1,0,3,90,9,2682
"3434",10388381,2485539,2013-12-02,"Watergraafsmeer","House","Entire home/apt",4,1,3,4,"Real Bed",150,2,25,2,100,8,700
"3435",10400568,2023961,2013-12-03,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",100,1,20,4,95,9,3840
"3436",10401747,2157399,2013-12-03,"Center-West","Boat","Entire home/apt",4,2,3,4,"Real Bed",315,4,50,3,100,10,1890
"3437",10401747,2024269,2013-12-03,"Center-West","Bed & Breakfast","Entire home/apt",2,1,0,2,"Real Bed",135,1,0,2,99,9,12420
"3438",10403744,2024765,2013-12-03,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",3,1,1,2,"Real Bed",120,1,0,3,84,8,3600
"3439",10404464,2024958,2013-12-03,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,1,0,2,91,9,3916
"3440",805655,2457531,2011-07-11,"The Baarsjes - Old West","House","Entire home/apt",4,1,3,6,"Real Bed",100,3,50,1,93,9,2400
"3441",10406304,3903480,2013-12-03,"IJburg - Zeeburgereiland","House","Entire home/apt",9,1,5,9,"Real Bed",200,4,50,2,95,10,4000
"3442",10409807,2026455,2013-12-03,"Westerpark","Boat","Entire home/apt",16,2,9,16,"Real Bed",500,15,30,2,93,10,12720
"3443",10409807,2117442,2013-12-03,"Westerpark","Boat","Entire home/apt",16,2,6,16,"Real Bed",360,1,0,2,95,10,11520
"3444",10410582,2162033,2013-12-03,"Docklands - Indian Neighborhood","Apartment","Entire home/apt",3,1,1,1,"Real Bed",79,2,30,3,93,9,11118
"3445",10420750,4788426,2013-12-04,"The Baarsjes - Old West","Apartment","Entire home/apt",3,1,1,2,"Real Bed",79,2,25,1,100,10,1040
"3446",10421684,2029095,2013-12-04,"Docklands - Indian Neighborhood","Apartment","Private room",2,1.5,1,1,"Real Bed",65,2,0,2,99,10,7800
"3447",10426849,2030466,2013-12-04,"Westerpark","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",69,1,21,2,96,10,9000
"3448",10426849,2073715,2013-12-04,"Westerpark","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",79,1,21,2,95,9,19200
"3449",805655,646038,2011-07-11,"The Baarsjes - Old West","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",100,1,15,1,100,9,1150
"3450",10426849,2086551,2013-12-04,"Westerpark","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",69,1,21,2,96,9,10080
"3451",10426849,2086724,2013-12-04,"Westerpark","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",89,1,10,2,94,9,15048
"3452",10426849,5169778,2013-12-04,"Westerpark","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",89,1,10,1,90,9,792
"3453",10426849,5169902,2013-12-04,"Westerpark","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",69,1,21,1,100,10,360
"3454",10426849,5170051,2013-12-04,"Westerpark","Bed & Breakfast","Private room",2,1,1,2,"Real Bed",89,1,10,1,100,10,594
"3455",10427422,3064241,2013-12-04,"The Baarsjes - Old West","Apartment","Entire home/apt",4,1,2,4,"Real Bed",165,1,0,3,100,9,2970
"3456",10428644,3308701,2013-12-04,"Forest and Shade","Apartment","Entire home/apt",2,1,1,1,"Real Bed",110,2,40,1,100,9,880
"3457",10429242,2031178,2013-12-04,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",2,1,1,1,"Real Bed",95,0,0,3,88,9,5130
"3458",77484,2821284,2010-02-04,"Center-West","Apartment","Entire home/apt",4,1,1,2,"Real Bed",120,2,30,3,95,9,21600
"3459",805655,3441901,2011-07-11,"The Baarsjes - Old West","House","Private room",2,1,1,2,"Real Bed",120,1,30,1,100,10,900
"3460",10434311,4922480,2013-12-04,"The Baarsjes - Old West","Apartment","Private room",2,1.5,1,1,"Real Bed",79,1,10,1,90,9,356
"3461",10446254,5197913,2013-12-05,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",120,1,0,3,87,9,2160
"3462",10450012,2036476,2013-12-05,"Center-West","Apartment","Entire home/apt",2,1,1,3,"Real Bed",95,1,0,1,100,10,3610
"3463",10451294,2036835,2013-12-05,"Center-West","Apartment","Entire home/apt",2,1,0,1,"Real Bed",100,1,0,1,88,8,8000
"3464",10453514,4495913,2013-12-05,"Center-West","Loft","Entire home/apt",4,1,2,2,"Real Bed",280,4,35,2,87,8,6720
"3465",10466271,2040532,2013-12-06,"Center-East","Apartment","Entire home/apt",2,1,1,1,"Real Bed",85,1,10,2,96,9,34580
"3466",10467490,4669175,2013-12-06,"Center-West","Apartment","Entire home/apt",4,1,2,4,"Real Bed",200,1,65,1,80,9,1590
"3467",10467490,4604800,2013-12-06,"Center-West","Apartment","Private room",3,1,1,2,"Real Bed",80,1,35,1,95,10,1150
"3468",806976,169356,2011-07-11,"Center-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",124,1,25,4,100,10,8344
"3469",10469013,5256327,2013-12-06,"Pipe - Rivierenbuurt","Apartment","Entire home/apt",4,2,2,2,"Real Bed",190,1,0,2,100,10,1520
"3470",10481660,2358921,2013-12-07,"The Baarsjes - Old West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",99,1,0,3,98,9,14256
"3471",10483759,2044583,2013-12-07,"The Baarsjes - Old West","Apartment","Entire home/apt",4,1,2,4,"Real Bed",130,2,20,3,100,9,1800
